tenure,age,address,income,retire,voice,internet,forward,churn,region_Zone 2,region_Zone 3,marital_Unmarried,ed_Did not complete high school,ed_High school degree,ed_Post-undergraduate degree,ed_Some college,gender_Male,custcat_E-service,custcat_Plus service,custcat_Total service,monthly_revenue,CLV
13,44,9,64,0,0,0,1,1,True,False,False,False,False,False,False,True,False,False,False,5333.333333333333,60571.829873636685
11,33,7,136,0,1,0,1,1,False,True,False,False,False,True,False,True,False,False,True,11333.333333333334,128715.13848147797
68,52,24,116,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True,False,9666.666666666666,109786.4416459665
33,33,12,33,0,0,0,0,1,True,False,True,False,True,False,False,False,False,False,False,2750.0,31232.349778593918
23,30,9,30,0,0,0,1,0,True,False,False,True,False,False,False,True,False,True,False,2500.0,28393.045253267195
41,39,17,78,0,0,0,0,0,True,False,True,False,True,False,False,False,False,True,False,6500.0,73821.91765849471
45,22,2,19,0,0,1,0,1,False,True,False,False,True,False,False,False,True,False,False,1583.3333333333333,17982.26199373589
38,35,5,76,0,1,1,1,0,True,False,True,False,True,False,False,True,False,False,True,6333.333333333333,71929.04797494356
45,59,7,166,0,0,0,1,0,False,True,False,False,False,False,False,True,False,True,False,13833.333333333334,157108.18373474517
68,41,21,72,0,0,0,0,0,False,False,False,True,False,False,False,True,True,False,False,6000.0,68143.30860784127
5,33,10,125,0,0,1,0,1,True,False,True,False,False,False,False,False,False,False,False,10416.666666666666,118304.35522194665
7,35,14,80,0,1,0,1,0,False,True,True,False,True,False,False,False,False,True,False,6666.666666666667,75714.78734204586
41,38,8,37,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,3083.3333333333335,35018.08914569622
57,54,30,115,0,1,1,1,1,True,False,False,False,False,False,False,False,False,False,True,9583.333333333334,108840.00680419093
9,46,3,25,0,0,0,0,0,True,False,True,True,False,False,False,False,False,False,False,2083.3333333333335,23660.871044389336
29,38,12,75,0,0,1,0,0,False,False,False,False,False,True,False,True,True,False,False,6250.0,70982.613133168
60,57,38,162,0,0,0,1,0,False,True,True,False,True,False,False,True,False,True,False,13500.0,153322.44436764286
34,48,3,49,0,0,0,1,0,False,True,True,False,True,False,False,False,False,True,False,4083.3333333333335,46375.3072470031
1,24,3,20,0,0,0,0,0,True,False,True,True,False,False,False,True,False,False,False,1666.6666666666667,18928.696835511466
26,29,3,77,0,1,1,1,1,False,False,False,False,False,False,False,True,False,False,True,6416.666666666667,72875.48281671916
6,30,7,16,0,0,1,0,1,False,True,True,False,False,False,True,False,True,False,False,1333.3333333333333,15142.957468409171
68,52,17,120,0,0,0,1,0,False,False,False,True,False,False,False,True,False,False,False,10000.0,113572.18101306878
53,33,10,101,0,1,1,1,0,False,True,True,False,False,True,False,False,False,False,True,8416.666666666666,95589.91901933288
55,48,19,67,0,0,0,0,0,False,True,False,True,False,False,False,True,False,False,False,5583.333333333333,63411.13439896341
14,43,18,36,0,0,0,1,0,False,True,False,True,False,False,False,True,False,True,False,3000.0,34071.65430392064
1,21,0,33,0,0,0,1,0,True,False,True,False,True,False,False,False,False,True,False,2750.0,31232.349778593918
42,40,7,37,0,1,1,0,0,True,False,True,False,True,False,False,False,False,False,True,3083.3333333333335,35018.08914569622
25,33,11,31,0,0,0,1,0,False,True,False,True,False,False,False,True,False,True,False,2583.3333333333335,29339.48009504277
9,21,1,17,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,1416.6666666666667,16089.392310184747
13,33,9,19,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,1583.3333333333333,17982.26199373589
56,37,6,36,0,0,1,0,0,False,False,False,True,False,False,False,False,True,False,False,3000.0,34071.65430392064
71,53,27,155,0,1,1,1,0,False,False,False,False,False,True,False,True,False,False,True,12916.666666666666,146697.4004752139
35,50,26,140,0,0,0,1,0,False,False,False,False,True,False,False,False,False,True,False,11666.666666666666,132500.87784858025
11,27,8,55,0,0,1,0,0,False,False,False,False,False,True,False,True,True,False,False,4583.333333333333,52053.916297656535
60,46,13,163,0,1,1,1,0,True,False,False,False,False,False,True,True,False,False,True,13583.333333333334,154268.87920941843
20,35,11,52,0,0,1,0,1,False,True,False,False,False,False,False,True,True,False,False,4333.333333333333,49214.61177232981
54,60,38,211,0,1,1,0,0,True,False,True,False,False,False,False,True,False,False,True,17583.333333333332,199697.75161464594
44,57,1,186,0,1,0,1,0,False,False,False,False,True,False,False,True,False,True,False,15500.0,176036.88057025665
11,41,0,39,0,1,0,1,1,False,False,False,True,False,False,False,False,False,True,False,3250.0,36910.958829247356
72,57,34,22,1,0,0,1,0,True,False,True,False,True,False,False,False,False,True,False,1833.3333333333333,20821.56651906261
10,41,7,30,0,0,0,1,0,False,True,True,True,False,False,False,True,False,True,False,2500.0,28393.045253267195
15,28,0,29,0,0,0,1,0,True,False,True,False,True,False,False,False,False,True,False,2416.6666666666665,27446.610411491623
27,28,4,23,0,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,1916.6666666666667,21768.00136083819
9,36,14,62,0,1,1,0,1,False,False,False,False,False,False,False,True,False,False,True,5166.666666666667,58678.96019008554
64,43,20,76,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,6333.333333333333,71929.04797494356
65,41,3,74,0,1,1,0,0,False,False,False,False,False,False,False,True,True,False,False,6166.666666666667,70036.17829139244
49,51,27,63,0,0,1,0,0,False,False,False,False,False,False,False,True,True,False,False,5250.0,59625.39503186113
47,41,0,36,0,0,1,0,1,False,True,False,False,False,False,False,True,False,False,True,3000.0,34071.65430392064
9,34,9,33,0,0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,2750.0,31232.349778593918
5,36,14,29,0,0,1,1,1,False,False,True,False,True,False,False,False,False,True,False,2416.6666666666665,27446.610411491623
30,34,4,27,0,0,1,0,1,True,False,False,False,True,False,False,True,False,False,False,2250.0,25553.740727940476
56,52,28,49,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,4083.3333333333335,46375.3072470031
10,22,0,24,0,1,1,1,0,False,True,True,False,False,False,False,True,False,False,True,2000.0,22714.43620261376
7,26,3,26,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,2166.6666666666665,24607.305886164904
52,27,6,47,0,0,0,0,0,False,False,True,False,False,False,True,True,False,False,False,3916.6666666666665,44482.437563451946
36,45,1,94,0,0,1,0,1,True,False,False,False,True,False,False,False,False,False,False,7833.333333333333,88964.87512690389
27,34,8,21,0,0,0,0,0,False,True,True,False,False,False,True,False,True,False,False,1750.0,19875.13167728704
58,62,36,27,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,2250.0,25553.740727940476
41,52,27,30,0,0,0,1,0,True,False,True,False,True,False,False,False,False,True,False,2500.0,28393.045253267195
47,40,16,127,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,10583.333333333334,120197.22490549782
55,39,15,137,0,1,0,1,1,True,False,False,False,True,False,False,False,False,True,False,11416.666666666666,129661.57332325353
56,50,1,80,0,1,0,1,0,True,False,False,False,True,False,False,False,False,False,True,6666.666666666667,75714.78734204586
35,55,24,30,0,0,0,0,0,False,True,True,False,True,False,False,True,False,False,False,2500.0,28393.045253267195
69,51,11,438,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,36500.0,414538.46069770114
44,39,16,79,0,0,1,1,1,True,False,True,False,True,False,False,True,False,False,True,6583.333333333333,74768.3525002703
36,47,16,63,0,0,0,0,0,False,True,False,True,False,False,False,True,False,False,False,5250.0,59625.39503186113
28,51,22,40,0,0,0,1,0,False,True,False,False,False,False,True,False,False,True,False,3333.3333333333335,37857.39367102293
72,67,44,51,1,0,0,1,0,False,False,False,True,False,False,False,True,False,True,False,4250.0,48268.17693055424
16,27,5,37,0,0,0,0,0,False,False,True,False,False,False,True,True,False,False,False,3083.3333333333335,35018.08914569622
3,43,19,61,0,0,1,0,1,False,True,True,False,False,False,False,False,False,False,False,5083.333333333333,57732.525348309966
40,57,15,22,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,1833.3333333333333,20821.56651906261
16,39,6,44,0,0,1,0,0,False,True,True,False,False,False,False,False,True,False,False,3666.6666666666665,41643.13303812522
20,42,4,17,0,0,0,0,0,False,False,True,False,False,False,True,True,False,False,False,1416.6666666666667,16089.392310184747
48,43,13,110,0,1,1,0,0,True,False,True,False,False,True,False,False,True,False,False,9166.666666666666,104107.83259531307
64,48,13,91,0,0,0,1,0,True,False,False,False,True,False,False,True,False,True,False,7583.333333333333,86125.57060157717
8,46,3,46,0,0,1,0,0,False,False,True,False,True,False,False,True,False,False,False,3833.3333333333335,43536.00272167638
40,38,10,85,0,0,0,1,1,False,False,False,False,False,False,True,True,False,True,False,7083.333333333333,80446.96155092372
38,71,27,10,1,0,0,0,0,True,False,True,False,True,False,False,True,False,False,False,833.3333333333334,9464.348417755733
67,68,28,244,0,1,0,1,0,False,False,True,True,False,False,False,False,False,True,False,20333.333333333332,230930.10139323986
26,42,0,80,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,True,6666.666666666667,75714.78734204586
41,34,15,83,0,1,1,1,0,False,True,False,False,False,True,False,False,False,False,True,6916.666666666667,78554.09186737258
2,31,2,21,0,0,0,0,1,True,False,True,True,False,False,False,True,False,False,False,1750.0,19875.13167728704
20,48,29,24,0,1,0,1,1,False,True,False,False,True,False,False,True,False,False,True,2000.0,22714.43620261376
31,53,2,351,0,0,0,1,0,True,False,True,False,False,False,True,False,False,True,False,29250.0,332198.6294632262
45,52,4,169,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,14083.333333333334,159947.4882600719
33,27,7,46,0,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,3833.3333333333335,43536.00272167638
10,26,6,34,0,0,0,0,0,False,False,True,False,False,False,True,True,True,False,False,2833.3333333333335,32178.784620369493
62,54,2,50,0,1,1,1,1,True,False,False,False,False,False,False,True,False,False,True,4166.666666666667,47321.74208877867
4,35,16,161,0,1,1,1,1,True,False,True,False,False,True,False,False,False,False,True,13416.666666666666,152376.0095258673
42,47,17,212,0,0,0,1,0,False,False,False,False,False,False,False,True,False,True,False,17666.666666666668,200644.18645642154
27,51,3,80,0,0,1,0,0,False,True,False,False,False,True,False,True,True,False,False,6666.666666666667,75714.78734204586
38,42,1,30,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,2500.0,28393.045253267195
52,61,3,53,0,1,1,0,0,False,True,False,False,False,True,False,False,True,False,False,4416.666666666667,50161.046614105384
35,33,9,73,0,1,1,1,0,False,True,True,False,False,True,False,False,False,False,True,6083.333333333333,69089.74344961684
3,20,1,17,0,0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,1416.6666666666667,16089.392310184747
17,33,9,23,0,1,1,0,1,True,False,True,False,False,True,False,True,False,False,True,1916.6666666666667,21768.00136083819
55,53,21,34,0,0,0,1,0,False,False,False,True,False,False,False,True,False,True,False,2833.3333333333335,32178.784620369493
43,36,5,107,0,0,0,0,1,False,True,False,True,False,False,False,False,True,False,False,8916.666666666666,101268.52806998634
47,25,5,21,0,0,0,1,1,True,False,False,True,False,False,False,False,False,True,False,1750.0,19875.13167728704
65,58,30,83,0,0,0,0,0,False,True,True,False,True,False,False,False,True,False,False,6916.666666666667,78554.09186737258
13,20,1,17,0,0,1,1,0,False,False,True,False,False,False,True,True,False,False,True,1416.6666666666667,16089.392310184747
64,25,4,76,0,0,0,1,0,False,True,False,False,False,False,True,False,False,True,False,6333.333333333333,71929.04797494356
12,24,2,19,0,0,0,1,1,True,False,True,True,False,False,False,True,False,True,False,1583.3333333333333,17982.26199373589
29,32,0,49,0,0,1,0,1,False,False,False,False,False,False,False,False,True,False,False,4083.3333333333335,46375.3072470031
23,47,21,173,0,0,0,0,0,True,False,True,False,False,False,True,False,True,False,False,14416.666666666666,163733.2276271742
14,35,4,47,0,0,0,1,1,True,False,True,False,False,False,True,False,True,False,False,3916.6666666666665,44482.437563451946
35,61,23,41,0,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,3416.6666666666665,38803.8285127985
26,39,8,105,0,1,0,1,0,False,True,True,False,False,False,True,False,False,False,True,8750.0,99375.6583864352
13,54,2,31,0,1,1,0,0,False,False,True,False,False,False,False,True,False,False,False,2583.3333333333335,29339.48009504277
69,40,13,41,0,0,0,0,0,True,False,False,False,True,False,False,True,True,False,False,3416.6666666666665,38803.8285127985
61,50,30,102,0,0,1,0,0,False,True,False,False,False,False,False,False,True,False,False,8500.0,96536.35386110848
45,22,2,36,0,0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,3000.0,34071.65430392064
3,37,13,24,0,1,0,0,0,True,False,True,True,False,False,False,False,False,False,False,2000.0,22714.43620261376
53,22,1,25,0,0,1,0,0,True,False,True,False,False,False,False,True,True,False,False,2083.3333333333335,23660.871044389336
59,42,1,68,0,0,0,1,0,False,False,True,False,True,False,False,False,False,True,False,5666.666666666667,64357.56924073899
13,34,11,20,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,1666.6666666666667,18928.696835511466
31,31,4,48,0,0,0,1,0,False,True,True,True,False,False,False,True,False,True,False,4000.0,45428.87240522752
40,29,6,40,0,0,0,1,0,False,False,False,False,True,False,False,False,False,True,False,3333.3333333333335,37857.39367102293
48,55,15,79,0,0,0,1,0,False,False,True,True,False,False,False,True,False,True,False,6583.333333333333,74768.3525002703
3,31,1,28,0,0,1,1,1,False,True,True,True,False,False,False,True,False,False,False,2333.3333333333335,26500.17556971606
51,48,12,64,0,0,0,0,0,True,False,True,False,True,False,False,False,False,False,False,5333.333333333333,60571.829873636685
33,41,15,37,0,0,0,0,0,False,True,True,False,True,False,False,True,False,False,False,3083.3333333333335,35018.08914569622
14,47,7,48,0,0,0,0,0,False,True,False,True,False,False,False,True,False,False,False,4000.0,45428.87240522752
